,Page_title,Subtitle,Lists,Context,List_tags
35,toolbars,classification bar,"tscp (transglobal secure collaboration participation, inc.) website . <st> business authentication framework ( baf ) document (pdf) <st> business authorization identification and labeling scheme ( bails ) document (pdf)",classification,0
36,creating a custom slide show,to create a custom slide show:,"choose slide show - custom slide shows . <st> click new and enter a name for your slide show in the name box. <st> under existing slides , select the slides you want to add to your slide show, and click the >> button. hold down shift to select a range of slides, or ctrl to select multiple slides.",you can create custom slide shows to meet the needs of your audience using slides within the current presentation.,1
37,creating a custom slide show,to start a custom slide show:,choose slide show - custom slide show . <st> select the show you want to start from the list. <st> click start .,selected slides,1
38,creating a custom slide show,to always start a slide show from the current slide:,"choose libreoffice - preferences tools - options setsystemspan(""swlnidm46065389203296""); - libreoffice impress - general . <st> in the start presentation area, select the always with current page check box.",,1
39,creating a custom slide show,to hide a slide:,"to hide several slides, choose view - slide sorter , and then select the slide(s) that you want to hide. <st> choose slide show - showhide slide . the slide is not removed from your document.","to hide the current slide, click the hide slide action button.",1
40,creating a custom slide show,to show a hidden slide:,"choose view - slide sorter , and then select the hidden slide(s) that you want to show. <st> choose slide show - showhide slide .",the slide is not removed from your document.,1
41,inserting external data in table (webquery),inserting by navigator,html_all - designates the entire document <st> html_tables - designates all html tables in the document,web page query,0
42,inserting external data in table (webquery),editing the external data,open edit - links . here you can edit the link to the external data.,html_tables,0
43,inserting external data in table (webquery),inserting by dialog,"set the cell cursor at the cell where the new content will be inserted. <st> choose sheet - link to external data . this opens the external data dialog. <st> enter the url of the html document or the name of the spreadsheet. press enter when finished. click the browse button to open a file selection dialog. <st> in the large list box of the dialog, select the named ranges or tables you want to insert. <st> you can also specify that the ranges or tables are updated every n seconds.",the following insert methods are available:,1
44,inserting external data in table (webquery),inserting by navigator,open two documents: the libreoffice calc spreadsheet in which the external data is to be inserted (target document) and the document from which the external data derives (source document). <st> in the target document open the navigator. <st> in the lower combo box of the navigator select the source document. the navigator now shows the range names and database ranges or the tables contained in the source document. <st> in the navigator select the insert as link drag mode . <st> drag the desired external data from the navigator into the target document.,"the import filter can create names for cell ranges on the fly. as much formatting as possible is retained, while the filter intentionally does not load any images.",1
45,editing chart titles,editing chart titles,"double-click on the chart. a gray border appears around the chart and the menu bar now contains commands for editing the objects in the chart. <st> double-click on an existing title text. a gray border appears around the text and you can now make changes. press enter to create a new line. if no title text exists, choose insert - titles to enter the text in a dialog. <st> a single-click on the title allows you to move it with the mouse. <st> if you want to change the formatting of the main title, choose format - title - main title . this opens the title dialog. <st> select one of the available tabs in the dialog to make modifications. <st> click ok . in your document, click outside the chart to exit chart editing mode.",to edit a chart title that you have inserted into a libreoffice document:,1
46,creating and printing labels and business cards,designing labels and business cards,"choose file - new - labels to open the labels dialog. <st> on the labels tab, under format , define the label format. libreoffice writer contains many formats of commercially available sheets for labels, badges, and business cards. you can also add other, user-defined formats. <st> on the labels tab, under inscription , you can choose what you want written on the labels. this often involves database fields, so that the labels can be printed with varying content, when sending ""form letters"" for example. it is also possible to have the same text printed on every label. use the database and table list boxes to select the database and table from which the data fields are obtained. click on the arrow button to transfer the selected data field into the inscription area. press enter to insert a line break. you can also enter spaces and any other fixed text. on the format tab you can define your own label formats, not covered by the predefined formats. to do this, select ""user"" from the type list box. on the options tab, you can specify whether all labels or only certain ones are to be created. <st> on the options tab page, make sure that the synchronize contents box is selected. if this is selected, a label only has to be entered (on the top left label) and edited once. <st> click on new document to create a new document with the settings you have entered. <st> as soon as you click on new document , you will see a small window with the synchronize labels button. enter the first label. when you click on the synchronize labels button, the current individual label is copied to all the other labels on the sheet.",labels,1
47,modifying numbering in a numbered list,to remove the number from a paragraph in a numbered list,"to remove the number while preserving the indent of the paragraph, press the backspace key. <st> to remove the number and the indent of the paragraph, click the numbering onoff icon on the formatting bar. if you save the document in html format, a separate numbered list is created for the numbered paragraphs that follow the current paragraph.",do one of the following:,0
48,modifying numbering in a numbered list,to remove the number from a paragraph in a numbered list,"click in front of the first character of the paragraph that you want to remove the numbering from. <st> do one of the following: to remove the number while preserving the indent of the paragraph, press the backspace key. to remove the number and the indent of the paragraph, click the numbering onoff icon on the formatting bar. if you save the document in html format, a separate numbered list is created for the numbered paragraphs that follow the current paragraph.",,1
49,modifying numbering in a numbered list,to change the number that a numbered list starts with,"click anywhere in the numbered list. <st> choose format - bullets and numbering , and then click the options tab. <st> enter the number you want the list to start with in the start at box. <st> click ok .",formatting,1
50,3d view,3d view,"when you leave the dialog with ok, the settings are applied permanently. <st> when you leave the dialog with cancel or escape, the chart returns to the state when you opened the dialog.",the chart preview responds to the new settings that you enter in the dialog.,0
51,3d view,perspective,enter the values for rotation of the chart on the three axes and for a perspective view.,format - 3d view,0
52,3d view,appearance,select a scheme from the list box.,,0
53,3d view,appearance,"if you mark or unmark a combination of check boxes that is not given by the realistic or simple scheme, you create a custom scheme. <st> mark shading to use the gouraud method for rendering the surface, otherwise a flat method is used. the flat method sets a single color and brightness for each polygon. the edges are visible, soft gradients and spot lights are not possible. the gouraud method applies gradients for a smoother, more realistic look.","by selecting a scheme, the check boxes and the light sources are set accordingly.",0
54,3d view,appearance,mark object borders to draw lines along the edges. <st> mark rounded edges to smooth the edges of box shapes.,"the gouraud method applies gradients for a smoother, more realistic look.",0
55,3d view,illumination,"click any of the eight buttons to switch a directed light source on or off. by default, the second light source is switched on. it is the first of seven ""normal"", uniform light sources. the light source number one projects a specular light with highlights. <st> for the selected light source, you can then choose a color and intensity in the list box just below the eight buttons. the brightness values of all lights are added, so use dark colors when you enable multiple lights. <st> the small preview inside this tab page has two sliders to set the vertical and horizontal position of the selected light source. the light source always aims to the middle of the object. <st> the button in the corner of the small preview switches the internal illumination model between a sphere and a cube. <st> use the ambient light list box to define the ambient light which shines with a uniform intensity from all directions.",set the light sources for the 3d view.,0
56,automatically filling in data based on adjacent cells,using autofill,"on a sheet, click in a cell, and type a number. <st> click in another cell and then click back in the cell where you typed the number. <st> drag the fill handle in the bottom right corner of the cell across the cells that you want to fill, and release the mouse button. the cells are filled with ascending numbers.",autofill automatically generates a data series based on a defined pattern.,1
57,automatically filling in data based on adjacent cells,using a defined series,"select the cell range in the sheet that you want to fill. <st> choose sheet - fill cells - series . <st> select the parameters for the series. if you select a linear series, the increment that you enter is added to each consecutive number in the series to create the next value. if you select a growth series, the increment that you enter is multiplied by each consecutive number to create the next value. if you select a date series, the increment that you enter is added to the time unit that you specify.",,1
58,editing chart axes,editing chart axes,"double-click on the chart. a gray border appears around the chart and the menu bar now contains commands for editing the objects in the chart. <st> choose format - axis , then select the axis (or axes) that you would like to edit. a dialog appears. <st> select from the available sections and make the required changes (for example, select the scale tab if you want to modify the scale of the axis). <st> click ok . in your document, click outside the chart to exit chart editing mode.",to edit the axes of a chart that you have inserted:,1
59,inserting charts,inserting charts,"insert a chart based on data from cells in calc or writer. these charts update automatically when the source data changes. <st> insert a chart with a default data set, and then use the data table dialog to enter your own data for that chart. these charts can be created in writer, impress and draw. <st> copy a chart from calc or writer into another document. these charts are snapshots of the data at the time of copying. they do not change when the source data changes.",different methods exist to start a chart:,0
60,inserting charts,chart based on values of its own,"in writer, draw or impress, choose insert - chart to insert a chart based on default data. <st> you can change the default data values by double-clicking on the chart and then choosing view - chart data table .",follow the instructions in the chart wizard to create the chart.,0
61,inserting charts,chart in a calc spreadsheet,click inside the cell range that you want to present in your chart. <st> click the insert chart icon on the standard toolbar. you see a chart preview and the chart wizard. <st> follow the instructions in the chart wizard to create the chart.,,1
62,inserting charts,chart in a writer text document,click inside the writer table. <st> choose insert - chart . you see a chart preview and the chart wizard. <st> follow the instructions in the chart wizard to create the chart.,"in a writer document, you can insert a chart based on the values in a writer table.",1
63,selecting underlying objects,selecting underlying objects,"to select an object that is covered by other objects, hold down option alt setsystemspan(""swlnidm45849329297136""); and click through the objects until you reach the underlying object. to cycle through the objects in reverse order, hold down option alt setsystemspan(""swlnidm45849329295744""); +shift when you click. <st> to select an object that is covered by another object using the keyboard, press tab to cycle through the objects on the slide. to cycle through the objects in reverse order, press shift+tab.",,0
64,replacing colors,to replace colors with the color replacer tool,"choose tools - color replacer . <st> click the color replacer icon and position the mouse pointer over the color you want to replace in the image. the color appears in the box next to the icon. <st> click the color in the image. the color appears in the first source color box and the check box next to the color is selected. <st> in the replace with box, select the new color. this replaces all occurrences of the source color in the image.","ensure that the image you are using is a bitmap (for example, bmp, gif, jpg, or png) or a metafile (for example, wmf).",1
65,replacing colors,to replace colors with the color replacer tool,"if you want to replace another color while the dialog is open, select the check box in front of source color in the next row and repeat steps 3 to 5. <st> click replace .",,1
66,user-defined number formats,user-defined number formats,"select the cells to which you want to apply a new, user-defined format. <st> choose format - cells - numbers . <st> in the categories list box select ""user-defined"". <st> in the format code text box enter the following code: 0.0,, ""million"" <st> click ok.","as an example, to display the number 10,200,000 as 10.2 million:",1
67,sorting data,sorting data,"click in a database range. if you select a range of cells, only these cells will get sorted. if you just click one cell without selecting, then the whole database range will get sorted. <st> choose data - sort . the range of cells that will get sorted is shown in inverted colors. <st> select the sort options that you want. <st> click ok .",,1
68,turning off bullets and numbering for individual paragraphs,turning off bullets and numbering for individual paragraphs,"place the cursor at the beginning of a numbered paragraph and press the backspace key. setapplspan(""swlnidm45911789091104""); <st> the numbering of the paragraph disappears and is removed from the numbering sequence. numbering resumes in the following paragraph. setapplspan(""swlnidm45911789088768"");","setapplspan(""swlnidm45911789093776"");",0
69,checking spelling and grammar,checking spelling and grammar,"click in the document, or select the text that you want to check. <st> choose tools - spelling . <st> when a possible spelling error is encountered, the spellcheck dialog opens and libreoffice offers some suggested corrections. <st> do one of the following: to accept a correction, click the suggestion, and then click correct . edit the sentence in the upper text box, and then click correct . to add the unknown word to a user-defined dictionary, click add to dictionary .","the spellcheck starts at the current cursor position, or at the beginning of the text selection.",1
70,printing sheets in landscape format,printing sheets in landscape format,"go to the sheet to be printed. <st> choose format - page . the command is not visible if the sheet has been opened with write protection on. in that case, click the edit file icon on the standard bar. <st> select the page tab. select the landscape paper format and click ok. <st> choose file - print . you will see the print dialog. depending on the printer driver and the operating system, it may be necessary to click the properties button and to change your printer to landscape format there. <st> in the print dialog in the general tab page, select the contents to be printed: all sheets - all sheets will be printed. selected sheets - only the selected sheets will be printed. all sheets whose names (at the bottom on the sheet tabs) are selected will be printed. by pressing command ctrl setsystemspan(""swlnidm44978101915456""); while clicking a sheet name you can change this selection. selected cells - all selected cells are printed. <st> from all the paper pages that result from the above selection, you can select the range of paper pages to be printed: all pages - print all resulting pages. pages - enter the pages to be printed. the pages will also be numbered from the first sheet onwards. if you see in the page break preview that sheet1 will be printed on 4 pages and you want to print the first two pages of sheet2, enter 5-6 here.","to print in landscape format, proceed as follows:",1
71,inserting special characters,inserting special characters,"to view a selection of all characters, choose insert - special character . <st> in the large selection field click the desired character or several characters in succession. the characters are displayed at the bottom of the dialog. when you close the dialog with ok , all displayed characters in the selected font are inserted in the current document. <st> in any text input field (such as the input fields in the find  replace dialog) you can press shift+ command ctrl setsystemspan(""swlnidm46199172302512""); +s to open the special characters dialog.","this function allows you to insert special characters, such as check marks, boxes, and telephone symbols, into your text.",0
72,switching between insert mode and overwrite mode,with the mouse:,"insrt insert mode is enabled. the text cursor is a blinking vertical line. setapplspan(""swlnidm46023439784352""); click on the area to enable the overwrite mode.","on the status bar, click on the area indicating the current mode in order to switch to the other mode:",0
73,switching between insert mode and overwrite mode,with the mouse:,"over the overwrite mode is enabled. the text cursor is a blinking block. setapplspan(""swlnidm46023439779632""); click on the area to enable insert mode.","setapplspan(""swlnidm46023439784352"");",0
74,creating gradient fills,to apply a gradient:,select a drawing object. <st> choose format - area and select gradient as the fill type. <st> select a gradient style from the list and click ok .,"a gradient fill is an incremental blend of two different colors, or shades of the same color, that you can apply to a drawing object.",1
75,creating gradient fills,to create a custom gradient:,choose format - area and click the gradients tab. <st> select a gradient from the list to use as the basis for your new gradient and click add . <st> type a name for the gradient in the text box and click ok . the name appears at the end of the gradient list and is selected for editing. <st> set the gradient properties and click modify to save the gradient. <st> click ok.,"you can define your own gradients and modify existing gradients, as well as save and load a list of gradient files.",1
76,creating gradient fills,to adjust the gradient of a drawing object:,select a drawing object with the gradient that you want to modify. <st> choose format - area and click the gradients tab. <st> adjust the values for the gradient to suit your needs and click ok .,you can adjust the properties of a gradient as well as the transparency of a drawing object with your mouse.,1
77,connecting lines,to connect lines:,select two or more lines. <st> right-click and choose modify - connect .,"when you connect lines, lines are drawn between neighboring endpoints.",1
78,using smart tags,installing smart tags,"save the .oxt extension file to your harddrive, then double-click the .oxt file in your file manager. alternatively, in libreoffice choose tools - extension manager to open the extension manager, click add and browse to the file. <st> click a smart tag .oxt file link on a web page and open the link with the default application. this requires a properly configured web browser.","to install a smart tag, do one of the following:",0
79,applying line styles using the toolbar,applying line styles using the toolbar,click the line icon to open the line dialog. <st> click the arrow styles icon to select an arrow style for the right and left ends of a line. <st> select a style from the line style box and specify the width in the line width box. a width of 0 corresponds to 1 pixel. <st> select the line and arrow color in the line color box.,drawing object properties,0
80,calculating in text documents,calculating in text documents,"click in the document where you want to insert the calculation, and then press f2. if you are in a table cell, type an equals sign =. <st> type the calculation that you want to insert, for example, =1000012 , and then press enter.",you can insert a calculation directly into a text document or into a text table.,1
81,printing multiple pages on one sheet,printing multiple pages on one sheet,"choose file - print and click the page layout tab. <st> do one of the following: to print two pages side by side on the same sheet, select ""2"" in the pages per sheet box. to print multiple pages on the same sheet, select the number of pages per sheet and optionally set the order of pages. the small preview shows the arrangement of pages. <st> click print .",file - print,1
82,printing multiple pages on one sheet,printing multiple pages on one sheet,"to print two pages side by side on the same sheet, select ""2"" in the pages per sheet box. <st> to print multiple pages on the same sheet, select the number of pages per sheet and optionally set the order of pages. the small preview shows the arrangement of pages.",do one of the following:,0
83,displaying the result of a table calculation in a different table,displaying the result of a table calculation in a different table,"open a text document, insert a table with multiple columns and rows, and then insert another table consisting of one cell. <st> enter numbers into some of the cells of the large table. <st> place the cursor in the table with the single cell, and then press f2. <st> in the formula bar , enter the function that you want to perform, for example, =sum . <st> click in a cell in the larger table that contains a number, press the plus sign (+), and then click in a different cell containing a number. <st> press enter .",you can perform a calculation on cells in one table and display the result in a different table.,1
84,hyphenation,to automatically hyphenate text in a paragraph,"right-click in a paragraph, and choose paragraph . <st> click the text flow tab. <st> in the hyphenation area, select the automatically check box. <st> click ok .",automatic hyphenation inserts hyphens where they are needed in a paragraph. this option is only available for paragraph styles and individual paragraphs.,1
85,hyphenation,to automatically hyphenate text in multiple paragraphs,"choose view - styles , and then click the paragraph styles icon. <st> right-click the paragraph style that you want to hyphenate, and then choose modify . <st> click the text flow tab. <st> in the hyphenation area, select the automatically check box. <st> click ok . <st> apply the style to the paragraphs that you want to hyphenate.","for example, enable the automatic hyphenation option for the ""default"" paragraph style, and then apply the style to the paragraphs that you want to hyphenate.",1
86,hyphenation,to manually hyphenate text in a selection,select the text that you want to hyphenate. <st> choose tools - language - hyphenation .,text flow,1
87,using scenarios,using scenarios,"double-click a scenario name in the navigator to apply that scenario to the current sheet. <st> to delete a scenario, right-click the name in the navigator and choose delete . <st> to edit a scenario, right-click the name in the navigator and choose properties . <st> to hide the border of a set of cells that are part of a scenario, open the properties dialog for each scenario that affects the cells and clear the display border checkbox. hiding the border also removes the listbox on the sheet where you can choose the scenarios.","in the navigator, you see the defined scenarios with the comments that were entered when the scenarios were created.",0
88,using scenarios,creating your own scenarios,"select the cells that contain the values that will change between scenarios. to select multiple cells, hold down the command ctrl setsystemspan(""swlnidm46317121534976""); key as you click each cell. <st> choose tools - scenarios . the create scenario dialog appears. <st> enter a name for the new scenario and leave the other fields unchanged with their default values. close the dialog with ok. your new scenario is automatically activated.","to create a scenario, select all the cells that provide the data for the scenario.",1
89,using scenarios,using scenarios,open the navigator with the navigator icon on the standard bar. <st> click the scenarios icon in the navigator.,scenarios can be selected in the navigator:,1
90,displaying hidden text,displaying hidden text,enable the check mark at view - hidden paragraphs .,"if you have a text that was hidden by defining a condition with a variable, you have several options to display the hidden text. do one of the following:",0
91,displaying hidden text,displaying hidden text,"double-click in front of the variable that you used to define the condition for hiding the text, and enter a different value for the variable. <st> double-click in front of the hidden text field or the hidden paragraph field, and change the condition statement.",view - hidden paragraphs,0
92,filter: applying advanced filters,filter: applying advanced filters,"copy the column headers of the sheet ranges to be filtered into an empty area of the sheet, and then enter the criteria for the filter in a row beneath the headers. horizontally arranged data in a row will always be logically connected with and, and vertically arranged data in a column will always be logically connected with or. <st> once you have created a filter matrix, select the sheet ranges to be filtered. open the advanced filter dialog by choosing data - filter - advanced filter , and define the filter conditions. <st> then click ok, and you will see that only the rows from the original sheet whose contents have met the search criteria are still visible. all other rows are temporarily hidden and can be made to reappear with the format - row - show command.",,1
93,indexes covering several documents,indexes covering several documents,"create an index in each individual document , copy and paste the indexes into a single document, and then edit them. <st> select each index, choose insert - section , and then enter a name for the index. in a separate document, choose insert - section , select link , click the browse button, and then locate and insert a named index section. <st> create a master document , add as subdocuments the files that you want to include in the index, and then choose insert - table of contents and index - table of contents, index or bibliography .",there are several ways to create an index that spans several documents:,0
94,page numbers,using different page number styles,"an automatic page break appears at the end of a page when the page style has a different ""next style"". for example, the ""first page"" page style has ""default"" as the next style. to see this, you may press command+t f11 setsystemspan(""swlnidm45259976329984""); to open the styles window, click the page styles icon, right-click the first page entry. choose modify from the context menu. on the organizer tab, you can see the ""next style"". <st> a manually inserted page break can be applied without or with a change of page styles. if you just press ctrl+enter , you apply a page break without a change of styles. if you choose insert - manual break , you can insert a page break without or with a change of style or with a change of page number.","both page styles must be separated by a page break. in writer, you can have automatic page breaks and manually inserted page breaks.",0
