,Page_title,Subtitle,Lists,Context,List_tags
15,Connect to a hidden wireless network,See Also,"I can’t see my wireless network in the list — The wireless could be turned off or broken, or you may be trying to
    connect to a hidden network.",See Also,0
16,Connect to a hidden wireless network,Connect to a hidden wireless network,"Open the system menu from the right
    side of the top bar. <st> Select Wi-Fi Not Connected . The Wi-Fi section of the menu will expand. <st> Click Wi-Fi Settings . <st> Click the Connect to Hidden Network… button. <st> In the window that appears, select a previously-connected hidden network
  using the Connection drop-down list, or New for a new
  one. <st> For a new connection, type the network name and choose the type of
  wireless security from the Wi-Fi security drop-down list. <st> Enter the password or other security details. <st> Click Connect .",Network,1
17,Do I need anti-virus software?,More Information,"Keeping safe on the internet — Antivirus software , basic firewalls , firewall ports …",More Information,0
18,Do I need anti-virus software?,See Also,"Do I need to scan my emails for viruses? — Viruses are unlikely to infect your computer, but could infect the
    computers of people you email.",See Also,0
19,Middle-click,Middle-click,"In the Activities overview, you can quickly open a new
  window for an application with middle-click. Simply middle-click on the
  application’s icon, either in the dash on the left, or in the applications
  overview. The applications overview is displayed using the grid button in the
  dash. <st> Most web browsers allow you to open links in tabs quickly with the
  middle mouse button. Just click any link with your middle mouse button, and
  it will open in a new tab. <st> In the file manager, middle-click serves two roles. If you
  middle-click a folder, it will open in a new tab. This mimics the
  behavior of popular web browsers. If you middle-click a file, it
  will open the file, just as if you had double-clicked.",Many applications use middle-click for advanced click shortcuts.,0
20,Middle-click,More Information,"Mouse tips <st> Tips & tricks — Special characters , middle click shortcuts …",More Information,0
21,What is an IP address?,More Information,"Networking terms & tips — Find your IP address , WEP & WPA security , MAC addresses , proxies …",More Information,0
22,What is an IP address?,See Also,Find your IP address — Knowing your IP address can help you troubleshoot network problems.,See Also,0
23,Add a new user account,More Information,Manage user accounts,More Information,0
24,Add a new user account,See Also,Delete a user account — Remove users that no longer use your computer.,See Also,0
25,Add a new user account,Add a new user account,"Open the Activities overview and
      start typing Users . <st> Click on Users to open the panel. <st> Press Unlock in the top right corner and
      type in your password when prompted. <st> Press the + button, below the list of
      accounts on the left, to add a new user account. <st> If you want the new user to have administrative access to the
      computer, select Administrator for the account type. Administrators can do things like add and delete users, install software
      and drivers, and change the date and time. <st> Enter the new user’s full name. The username will be filled in
      automatically based on the full name. If you do not like the proposed
      username, you can change it. <st> You can choose to set a password for the new user, or let them set it
      themselves on their first login. If you choose to set the password now,
      you can press the icon to
      automatically generate a random password. <st> Click Add .",administrator privileges,1
26,"Log out, power off or switch users",See Also,"Automatically lock your screen — Prevent other people from using your desktop when you
    go away from your computer. <st> The screen locks itself too quickly — Change how long to wait before locking the screen in the Privacy settings.",See Also,0
27,"Log out, power off or switch users",See Also,Set up automatic suspend — Configure your computer to suspend automatically. <st> Use less power and improve battery life — Tips to reduce the power consumption of your computer. <st> What happens when I suspend my computer? — Suspend sends your computer to sleep so it uses less power.,See Also,0
28,"Log out, power off or switch users",See Also,Use less power and improve battery life — Tips to reduce the power consumption of your computer.,See Also,0
29,"Log out, power off or switch users",More Information,"Power & battery — Battery status , suspend , screen dimming … <st> Ubuntu Desktop Guide <st> Your desktop — Calendar , notifications , keyboard shortcuts , windows and workspaces …",More Information,0
30,"Log out, power off or switch users",See Also,Log in automatically — Set up automatic login for when you switch on your computer.,See Also,0
31,"Cancel, pause or release a print job",More Information,"Printer problems — Undetected printers, paper jams, print-outs that look wrong…",More Information,0
32,"Cancel, pause or release a print job",How to cancel a print job:,"Open the Activities overview and
      start typing Printers . <st> Click Printers to open the panel. <st> Click the Show Jobs button on the right-hand side of the Printers dialog. <st> Cancel the print job by clicking the stop button.",How to cancel a print job:,1
33,"Cancel, pause or release a print job",Pause and release a print job,"Open the Activities overview and
      start typing Printers . <st> Click Printers to open the panel. <st> Click the Show Jobs button on the right-hand side of the Printers dialog and either pause or release the print job
      based on your needs.","If you want to pause or release a print job, you can do so by going to the
  jobs dialog in the printer settings and click the appropriate button.",1
34,Simulate clicking by hovering,More Information,"Mobility impairments <st> Mouse — Left-handed , speed and sensitivity , touchpad clicking and scrolling …",More Information,0
35,Simulate clicking by hovering,Simulate clicking by hovering,"Open the Activities overview and
      start typing Universal Access . <st> Click on Universal Access to open the panel. <st> Press Click Assist in the Pointing &
      Clicking section. <st> Switch Hover Click to ON .",Hover Click,1
36,Where do I get color profiles?,More Information,Color profiles,More Information,0
37,Where do I get color profiles?,See Also,"How do I test if color management is working correctly? — Use the supplied test profiles to check that your profiles are being
    applied correctly to your screen. <st> Missing information for whole-screen color correction? — Whole-screen color correction modifies all the screen colors on all windows. <st> What is a color profile? — A color profile is a simple file that expresses a color space or device response. <st> Why do I need to do calibration myself? — Calibrating is important if you care about the colors you display or print.",See Also,0
38,Log in automatically,More Information,Manage user accounts,More Information,0
39,Log in automatically,See Also,"Log out, power off or switch users — Learn how to leave your user account, by logging out, switching
    users, and so on.",See Also,0
40,Log in automatically,Log in automatically,"Open the Activities overview and
      start typing Users . <st> Click Users to open the panel. <st> Select the user account that you want to log in to automatically at
      startup. <st> Press Unlock and enter your password. <st> Toggle the Automatic Login switch to ON .","You can change your settings so that you are automatically logged in to
  your account when you start up your computer:",1
41,Songs don’t appear on my iPod when I copy them onto it,More Information,Music and players,More Information,0
42,Link and unlink contacts,More Information,Contacts — Access your contacts.,More Information,0
43,Link and unlink contacts,Link contacts,"Enable selection mode by pressing the tick button above the
      contact list. <st> A checkbox will appear next to each contact. Tick the checkboxes next
      to the contacts that you want to merge. <st> Press Link to link the selected
      contacts.",Contacts,1
44,Link and unlink contacts,Unlink contacts,"Select the contact you wish to unlink from your list of contact. <st> Press Edit in the top-right corner of Contacts . <st> Press Linked Accounts . <st> Press Unlink to unlink the entry from the
      contact. <st> Close the window once you have finished unlinking the entries. <st> Press Done to finish editing the
      contact.","You may want to unlink contacts if you accidentally linked contacts which
  should not be linked.",1
45,Other users can’t connect to the internet,More Information,"Network problems — Troubleshooting wireless connections , finding your wifi network …",More Information,0
46,Other users can’t connect to the internet,See Also,Other users can’t edit the network connections — You need to uncheck the Available to all users option in the network connection settings.,See Also,0
47,Other users can’t connect to the internet,Other users can’t connect to the internet,"Open the Activities overview and
      start typing Network . <st> Click on Network to open the panel. <st> Select Wi-Fi from the list on the left. <st> Click the button to open the connection
      details. <st> Select Identity from the pane on the left. <st> At the bottom of the Identity panel, check the Make
      available to other users option to allow other users to use the
      network connection. <st> Press Apply to save the changes.","When you set up a network connection, all other users on your computer
  will normally be able to use it. If the connection information is not shared,
  you should check the connection settings.",1
48,Change your timezone,More Information,"Date & time — Set date and time , world clocks , timezone , calendar and appointments …",More Information,0
49,Change your timezone,Change your timezone,"Open the Activities overview and start typing Date & Time . <st> Click on Date & Time to open the panel. <st> If you have Automatic Time Zone set to ON , your
      time zone should update automatically if you have an internet
      connection and the location services feature is enabled. To update your time zone manually, set this to OFF . <st> Click Time Zone , then select your location on the map or
      search for your current city.",Change your timezone,1
50,"Click, drag, or scroll with the touchpad",Tap to click,"To click, tap on the touchpad. <st> To double-click, tap twice. <st> To drag an item, double-tap but don’t lift your finger after the
      second tap. Drag the item where you want it, then lift your finger to
      drop. <st> If your touchpad supports multi-finger taps, right-click by tapping
      with two fingers at once. Otherwise, you still need to use hardware
      buttons to right-click. See Simulate a right mouse click for a method
      of right-clicking without a second mouse button. <st> If your touchpad supports multi-finger taps, middle-click by tapping with three
      fingers at once.",Touchpad,0
51,"Click, drag, or scroll with the touchpad",More Information,"Mouse — Left-handed , speed and sensitivity , touchpad clicking and scrolling …",More Information,0
52,"Click, drag, or scroll with the touchpad",Tap to click,"Open the Activities overview and
      start typing Mouse & Touchpad . <st> Click on Mouse & Touchpad to open the panel. <st> In the Touchpad section, check Tap to click . The Touchpad section only appears if your system has a
        touchpad.",You can tap your touchpad to click instead of using a button.,1
53,"Click, drag, or scroll with the touchpad",Two finger scroll,"Open the Activities overview and
      start typing Mouse & Touchpad . <st> Click on Mouse & Touchpad to open the panel. <st> In the Touchpad section, check Two finger
      scroll .",You can scroll using your touchpad using two fingers.,1
54,"Click, drag, or scroll with the touchpad",Natural scrolling,"Open the Activities overview and
      start typing Mouse & Touchpad . <st> Click on Mouse & Touchpad to open the panel. <st> In the Touchpad section, check Natural
      scrolling .","You can drag content as if sliding a physical piece of paper using the
  touchpad.",1
55,Why does my wireless network keep disconnecting?,More Information,"Network problems — Troubleshooting wireless connections , finding your wifi network … <st> Wireless Networking — Connect to wifi , Hidden networks , Disconnecting …",More Information,0
56,Why does my wireless network keep disconnecting?,See Also,Connect to a wireless network — Get on the internet — wirelessly.,See Also,0
57,Connect to mobile broadband,More Information,"Wireless Networking — Connect to wifi , Hidden networks , Disconnecting …",More Information,0
58,Connect to mobile broadband,Connect to mobile broadband,"If you do not have a built-in 3G modem, connect your phone or
    Internet stick to a USB port on your computer. <st> Open the system menu from the right
    side of the top bar. <st> Select Mobile Broadband Off . The Mobile Broadband section of
      the menu will expand. If Mobile Broadband does not appear in the system
        status menu, ensure that your device is not set to connect as Mass
        Storage. <st> Select Connect . If you are connecting for the first
    time, the Set up a Mobile Broadband Connection wizard is
    launched. The opening screen displays a list of required information. Click Next . <st> Choose your provider’s country or region from the list. Click Next . <st> Choose your provider from the list. Click Next . <st> Select a plan according to the type of device you are
    connecting. This will determine the Access Point Name. Click Next . <st> Confirm the settings you have selected by clicking Apply . The wizard will close and the Network panel will display the properties of your
    connection.","You can set up a connection to a cellular (3G) network with your
  computer’s built-in 3G modem, your mobile phone, or an Internet stick.",1
59,Define proxy settings,More Information,"Networking terms & tips — Find your IP address , WEP & WPA security , MAC addresses , proxies …",More Information,0
60,Define proxy settings,Change proxy method,"Open the Activities overview and
      start typing Network . <st> Click on Network to open the panel. <st> Select Network proxy from the list on the left. <st> Choose which proxy method you want to use from: None The applications will use a direct connection to fetch the content
          from the web. Manual For each proxied protocol, define the address of a proxy and port
          for the protocols. The protocols are HTTP , HTTPS , FTP and SOCKS . Automatic A URL pointing to a resource, which contains the appropriate
          configuration for your system.",Change proxy method,1
61,How do I calibrate my scanner?,More Information,Calibration,More Information,0
62,How do I calibrate my scanner?,See Also,"How do I calibrate my camera? — Calibrating your camera is important to capture accurate colors. <st> How do I calibrate my printer? — Calibrating your printer is important to print accurate colors. <st> How do I calibrate my screen? — Calibrating your screen is important to display accurate
    colors. <st> Which target types are supported? — Calibration targets are needed to do scanner and camera profiling.",See Also,0
63,How do I calibrate my scanner?,How do I calibrate my scanner?,"Make sure your scanner is connected to your computer with a cable or
      over the network. <st> Scan your calibration target and save it as an uncompressed TIFF
      file. <st> Open the Activities overview and
      start typing Settings . <st> Click on Settings . <st> Click Devices in the sidebar. <st> Click Color in the sidebar to open the panel. <st> Select your scanner. <st> Press Calibrate… to commence the
      calibration.","If you want your scanner to represent the color accurately in scans, you
  should calibrate it.",1
64,I can’t play the songs I bought from an online music store,More Information,Music and players,More Information,0
65,Purge trash & temporary files,More Information,"More file-related tasks <st> Privacy Settings — Screen lock , Usage history , Purge trash & temporary files …",More Information,0
66,Purge trash & temporary files,Automatically empty your trash and clear temporary files,"Open the Activities overview and
      start typing Privacy . <st> Click on Privacy to open the panel. <st> Select Purge Trash & Temporary Files . <st> Set one or both of the Automatically empty Trash or Automatically purge Temporary Files switches to ON . <st> Set how often you would like your Trash and Temporary Files to be purged by changing the Purge After value. <st> Use the Empty Trash or Purge Temporary Files buttons to perform these actions immediately.",Automatically empty your trash and clear temporary files,1
67,Change your password,More Information,Passwords,More Information,0
68,Change your password,See Also,"Choose a secure password — Use longer, more complicated passwords. <st> How do administrative privileges work? — You need administrative privileges to change important parts of your
    system.",See Also,0
69,Change your password,Change your password,"Open the Activities overview and
      start typing Users . <st> Click Users to open the panel. <st> Click the label ····· next to Password . If you
      are changing the password for a different user, you will first need to Unlock the panel. <st> Enter your current password, then a new password. Enter your new
      password again in the Verify New Password field. You can press the icon to
      automatically generate a random password. <st> Click Change .",administrator privileges,1
70,Connect another monitor to your computer,More Information,"Display & screen — Background , size and rotation ,
      brightness…",More Information,0
71,Connect another monitor to your computer,Set up an additional monitor,"Open the Activities overview and
      start typing Displays . <st> Click on Displays to open the panel. <st> Click on the monitor that you would like to activate or deactivate,
      then in the list of monitor configuration select Turn Off to
      deactivate the monitor, or one of Primary , Secondary , or Mirror to activate it. The primary monitor is the one with the top bar , and where the Activities overview is shown. <st> To rotate the orientation of the monitor, use the buttons with the
      arrows until the preview is correct. <st> When you are happy with your settings, click Apply and then
      click Keep Changes .","To set up an additional monitor, connect the monitor to your computer. If
  your system does not recognize it immediately, or you would like to adjust
  the settings:",1
72,Connect with your contact,More Information,Contacts — Access your contacts.,More Information,0
73,Connect with your contact,Connect with your contact,"Select the contact from your contact list. <st> Press on the detail that you want to use. For example, to
      email your contact, press the email address. <st> The corresponding application will be launched using the contact’s
      details.",Contacts,1
74,The estimated battery life is wrong,More Information,Questions,More Information,0
75,The estimated battery life is wrong,See Also,"Why do I have less battery life than I did on Windows/Mac OS? — Tweaks from the manufacturer and differing battery life estimates may
    be the cause of this problem.",See Also,0
76,Use different speakers or headphones,More Information,"Basic sound — Volume , speakers and headphones , microphones …",More Information,0
77,Use different speakers or headphones,See Also,"Use a different microphone — Use an analog or USB microphone and select a default input
    device.",See Also,0
78,Use different speakers or headphones,Select a default audio input device,"Open the Activities overview and start typing Sound . <st> Click on Sound to open the panel. <st> In the Output tab, select the device that you want to
      use.",Select a default audio input device,1
79,What is Bluetooth visibility?,More Information,"Bluetooth — Connect , send files , turn on and off …",More Information,0
80,I hear crackling or buzzing when sounds are playing,I hear crackling or buzzing when sounds are playing,"Check that the speakers are plugged in correctly. If the speakers are not fully plugged in, or if they are plugged into the
  wrong socket, you might hear a buzzing sound. <st> Make sure the speaker/headphone cable is not damaged. Audio cables and connectors can gradually wear with use. Try plugging the
  cable or headphones into another audio device (like an MP3 player or a CD
  player) to check if there is still a crackling sound. If there is, you may need
  to replace the cable or headphones. <st> Check if the sound drivers are not very good. Some sound cards do not work very well on Linux because they do not have very
  good drivers. This problem is more difficult to identify. Try searching for
  the make and model of your sound card on the internet, plus the search term
  “Linux”, to see if other people are having the same problem. You can use the lspci command to get more information about your
  sound card.","If you hear crackling or buzzing when sounds are playing on your computer,
 you may have a problem with the audio cables or connectors, or a problem with
 the drivers for the sound card.",0
81,I hear crackling or buzzing when sounds are playing,More Information,"Sound problems — Troubleshoot problems like having no sound or having poor sound
    quality.",More Information,0
82,How do I assign profiles to devices?,More Information,"Color management — Why is this important , Color profiles , How to calibrate a device …",More Information,0
83,How do I assign profiles to devices?,See Also,How do I import color profiles? — Color profiles can be imported by opening them. <st> What is a color profile? — A color profile is a simple file that expresses a color space or device response. <st> Why do I need to do calibration myself? — Calibrating is important if you care about the colors you display or print.,See Also,0
84,How do I assign profiles to devices?,How do I assign profiles to devices?,"Open the Activities overview and
      start typing Settings . <st> Click on Settings . <st> Click Devices in the sidebar. <st> Click Color in the sidebar to open the panel. <st> Select the device for which you want to add a profile. <st> Click Add profile to select an existing profile or import
      a new profile. <st> Press Add to confirm your selection.","You may want to assign a color profile for your screen or printer so that
  the colors which it shows are more accurate.",1
85,Maximize and unmaximize a window,More Information,Working with windows,More Information,0
86,Maximize and unmaximize a window,See Also,Tile windows — Maximize two windows side-by-side.,See Also,0
87,Why did my computer turn off when the battery got to 10%?,More Information,Questions,More Information,0
88,Can I share my color profile?,More Information,Calibration,More Information,0
89,Can I share my color profile?,See Also,What is a color profile? — A color profile is a simple file that expresses a color space or device response.,See Also,0
90,Use alternative keyboard layouts,More Information,"Keyboard — Keyboard layouts , cursor blinking , keyboard accessibility … <st> Region & Language — Language , region and formats , keyboard layouts … <st> Set keyboard shortcuts — Define or change keyboard shortcuts in Keyboard settings.",More Information,0
91,Use alternative keyboard layouts,See Also,"Enter special characters — Type characters not found on your keyboard, including foreign alphabets, mathematical symbols, and dingbats.",See Also,0
92,Use alternative keyboard layouts,Use alternative keyboard layouts,"Open the Activities overview and
      start typing Region & Language . <st> Click on Region & Language to open the panel. <st> Click the + button in the Input Sources section,
      select the language which is associated with the layout, then select a
      layout and press Add .","Keyboards come in hundreds of different layouts for different languages.
  Even for a single language, there are often multiple keyboard layouts, such
  as the Dvorak layout for English. You can make your keyboard behave like a
  keyboard with a different layout, regardless of the letters and symbols
  printed on the keys. This is useful if you often switch between multiple
  languages.",1
93,Install the Flash plug-in,Install the Flash plug-in,NPAPI for Firefox and other Gecko-based web browsers <st> PPAPI for Chromium and other Blink-based web browsers including Opera and Vivaldi,There are two kinds of plug-ins available:,0
94,Install the Flash plug-in,More Information,"Web Browsers — Change the default browser , install Flash …",More Information,0
95,Install the Flash plug-in,adobe-flashplugin,Make sure that the Canonical Partner repository is activated . <st> Install the adobe-flashplugin package. <st> Restart your browser.,adobe-flashplugin,1
96,Install the Flash plug-in,browser-plugin-freshplayer-pepperflash,"Make sure that adobe-flashplugin is installed. <st> Open a terminal window by pressing Ctrl + Alt + T and
   install the browser-plugin-freshplayer-pepperflash package: sudo apt install browser-plugin-freshplayer-pepperflash <st> Restart your browser.",browser-plugin-freshplayer-pepperflash,1
97,Change the name or location of a printer,More Information,Set up a printer,More Information,0
98,Change the name or location of a printer,See Also,"How do administrative privileges work? — You need administrative privileges to change important parts of your
    system.",See Also,0
99,Change the name or location of a printer,Change printer name,"Open the Activities overview and
      start typing Printers . <st> Click Printers to open the panel. <st> Click the Unlock button in the top-right corner and enter
      your password. <st> Click the name of your printer, and start typing a new name for
      the printer. <st> Press Enter to save your changes.","If you want to change the name of a printer, take the following steps:",1
100,Change the name or location of a printer,Change printer location,"Open the Activities overview and
      start typing Printers . <st> Click Printers to open the panel. <st> Click the Unlock button in the top-right corner and enter
      your password. <st> Click the location, and start editing the location. <st> Press Enter to save the changes.",To change the location of your printer:,1
101,Adjust the double-click speed,More Information,"Mobility impairments <st> Mouse — Left-handed , speed and sensitivity , touchpad clicking and scrolling …",More Information,0
102,Adjust the double-click speed,Adjust the double-click speed,"Open the Activities overview and
  start typing Universal Access . <st> Click on Universal Access to open the panel. <st> Under Pointing & Clicking , adjust the Double-click slider to a value you find comfortable.","Double-clicking only happens when you press the mouse button twice
quickly enough. If the second press is too long after the first, you’ll
just get two separate clicks, not a double click. If you have difficulty
pressing the mouse button quickly, you should increase the timeout.",1
103,What is a color profile?,More Information,Color profiles,More Information,0
104,What is a color profile?,See Also,Can I share my color profile? — Sharing color profiles is never a good idea as hardware changes over time. <st> How do I assign profiles to devices? — Look in Settings ▸ Color to add a color profile for your screen. <st> How do I import color profiles? — Color profiles can be imported by opening them. <st> What is a color space? — A color space is a defined range of colors. <st> Where do I get color profiles? — Color profiles are provided by vendors and can be generated yourself.,See Also,0
105,Set screen brightness,More Information,"Display & screen — Background , size and rotation ,
      brightness… <st> Screen problems — 
      Troubleshoot screen and graphics problems.",More Information,0
106,Set screen brightness,See Also,"Adjust the contrast — Make windows and buttons on the screen more (or less) vivid, so
    they’re easier to see. <st> Enable automatic brightness — Automatically control screen brightness to reduce battery use. <st> Use less power and improve battery life — Tips to reduce the power consumption of your computer. <st> Why does my screen go dim after a while? — The screen will dim when the computer is idle in order to save power.",See Also,0
107,Set screen brightness,To set the screen brightness using the Power panel:,"Open the Activities overview and start typing Power . <st> Click Power to open the panel. <st> Adjust the Screen brightness slider to the value you want to
      use. The change should take effect immediately.",To set the screen brightness using the Power panel:,1
108,Check the battery status,More Information,"Power & battery — Battery status , suspend , screen dimming …",More Information,0
109,Check the battery status,See Also,Use less power and improve battery life — Tips to reduce the power consumption of your computer.,See Also,0
110,Check the battery status,Display the status of the battery and connected devices,"Open the Activities overview and start typing Power . <st> Click Power to open the panel. The status of known devices
      is displayed.",Display the status of the battery and connected devices,1
111,Choose a monitor,More Information,"Wacom Graphics Tablet — Map a monitor , configure the stylus , use the tablet left handed …",More Information,0
112,Choose a monitor,Choose a monitor,"Open the Activities overview and
    start typing Wacom Tablet . <st> Click on Wacom Tablet to open the panel. If no tablet is detected, you’ll be asked to Please plug in or turn on your Wacom tablet . Click the Bluetooth Settings link to connect a wireless tablet. <st> Click Map to Monitor… <st> Check Map to single monitor . <st> Next to Output , select the monitor you wish to receive
   input from your graphics tablet. Only the monitors that are configured will be
      selectable. <st> Switch Keep aspect ratio (letterbox) to ON to
    match the drawing area of the tablet to the proportions of the monitor.
      This setting, also called force proportions , letterboxes the drawing area on a tablet to correspond more
      directly to a display. For example, a 4∶3 tablet would be mapped so that
      the drawing area would correspond to a widescreen display. <st> Click Close .",Choose a monitor,1
113,Calendar appointments,More Information,"Customize your desktop <st> Date & time — Set date and time , world clocks , timezone , calendar and appointments …",More Information,0
114,Calendar appointments,Calendar appointments,"Click on the clock on the top bar. <st> Click the date for which you want to see your appointments from the
      calendar. A dot is shown under each date that has an appointment. Existing appointments will be displayed to the left of the calendar.
      As appointments are added to your Evolution calendar, they
      will appear in the clock’s appointment list.",To view your appointments:,1
115,Why do I have less battery life than I did on Windows/Mac OS?,More Information,Questions,More Information,0
116,Why do I have less battery life than I did on Windows/Mac OS?,See Also,The estimated battery life is wrong — The battery life displayed when you click on the battery icon is an estimate. <st> Use less power and improve battery life — Tips to reduce the power consumption of your computer. <st> Why is my laptop slow when it is on battery? — Some laptops intentionally slow down when they are running on battery.,See Also,0
117,Configure the stylus,Configure the stylus,"Eraser Pressure Feel: use the slider to adjust the
       “feel” (how physical pressure is translated to digital values) between Soft and Firm . <st> Button/Scroll Wheel configuration (these change to
       reflect the stylus). Click the menu next to each label to select one of
       these functions: No Action, Left Mouse Button Click, Middle Mouse Button
       Click, Right Mouse Button Click, Scroll Up, Scroll Down, Scroll Left,
       Scroll Right, Back, or Forward. <st> Tip Pressure Feel: use the slider to adjust the
       “feel” between Soft and Firm .","The lower part of the panel contains details and settings specific
   to your stylus, with the device name (the stylus class) and diagram to the
   left. These settings can be adjusted:",0
118,Configure the stylus,More Information,"Wacom Graphics Tablet — Map a monitor , configure the stylus , use the tablet left handed …",More Information,0
119,Configure the stylus,Configure the stylus,"Open the Activities overview and
    start typing Wacom Tablet . <st> Click on Wacom Tablet to open the panel. If no tablet is detected, you’ll be asked to Please plug in or turn on your Wacom tablet . Click the Bluetooth Settings link to connect a wireless tablet. <st> The lower part of the panel contains details and settings specific
   to your stylus, with the device name (the stylus class) and diagram to the
   left. These settings can be adjusted: Eraser Pressure Feel: use the slider to adjust the
       “feel” (how physical pressure is translated to digital values) between Soft and Firm . Button/Scroll Wheel configuration (these change to
       reflect the stylus). Click the menu next to each label to select one of
       these functions: No Action, Left Mouse Button Click, Middle Mouse Button
       Click, Right Mouse Button Click, Scroll Up, Scroll Down, Scroll Left,
       Scroll Right, Back, or Forward. Tip Pressure Feel: use the slider to adjust the
       “feel” between Soft and Firm . <st> Eraser Pressure Feel: use the slider to adjust the
       “feel” (how physical pressure is translated to digital values) between Soft and Firm . <st> Button/Scroll Wheel configuration (these change to
       reflect the stylus). Click the menu next to each label to select one of
       these functions: No Action, Left Mouse Button Click, Middle Mouse Button
       Click, Right Mouse Button Click, Scroll Up, Scroll Down, Scroll Left,
       Scroll Right, Back, or Forward. <st> Tip Pressure Feel: use the slider to adjust the
       “feel” between Soft and Firm .",Configure the stylus,1
120,Why won’t DVDs play?,More Information,Videos,More Information,0
121,Why won’t DVDs play?,See Also,How do I enable restricted codecs to play DVDs? — Most commercial DVDs are encrypted and will not play without decryption software.,See Also,0
122,Search for a contact,More Information,Contacts — Access your contacts.,More Information,0
123,Search for a contact,Search for a contact,"In the Activities overview, start typing the name of the
      contact. <st> Matching contacts will appear in the overview instead of the usual list
      of applications. <st> Press Enter to select the contact at the top of the list or
      click the contact that you want to select if they are not at the
      top.",You can search for an online contact in one of two ways:,1
124,Search for a contact,Search for a contact,Click inside the search field. <st> Start typing the name of the contact.,Contacts,1
125,How do administrative privileges work?,More Information,User privileges,More Information,0
126,How do administrative privileges work?,See Also,"Change the name or location of a printer — Change the name or location of a printer in the printer
    settings. <st> Change who has administrative privileges — You can allow users to make changes to the system by giving them
    administrative privileges. <st> Change your login screen photo — Add your photo to the login and user screens. <st> Change your password — Keep your account secure by changing your password often in your
    account settings. <st> Delete a user account — Remove users that no longer use your computer. <st> Other users can’t edit the network connections — You need to uncheck the Available to all users option in the network connection settings. <st> Problems caused by administrative restrictions — You can do some things, like installing applications, only if you
    have administrative privileges. <st> Set the default printer — Pick the printer that you use most often.",See Also,0
127,Edit contact details,More Information,Contacts — Access your contacts.,More Information,0
